date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,us_aqi,european_aqi,Condition,Rain,MaxTemp,MinTemp,SunRise,SunSet,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure,unhealthy_air
2016-05-09,22.1,18.683333333333334,244.58333333333331,32.34166666666667,4.4625,54.54166666666666,0.5,76.375,52.79166666666666,Sunny,0.0,19,13,05:52:00,20:9:00,8:18:00,23:5:00,16,76,1018,1
2016-05-10,22.141666666666666,18.1,232.33333333333331,51.8375,5.583333333333333,27.875,0.5,63.0,36.125,Partly cloudy,0.02,18,13,05:51:00,20:10:00,9:16:00,,13,78,1017,0
2016-05-11,38.72916666666666,32.24166666666667,330.1666666666667,75.2,9.529166666666669,18.83333333333333,0.5,72.41666666666667,48.04166666666666,Sunny,0.0,19,13,05:50:00,20:11:00,10:16:00,12:0:00,6,70,1014,0
2016-05-12,53.65416666666667,42.42083333333333,314.4166666666667,54.975,7.575,24.291666666666668,0.5,106.79166666666669,70.625,Partly cloudy,2.36,23,17,05:49:00,20:12:00,11:17:00,12:48:00,11,59,1007,1
2016-05-13,101.69166666666666,60.61666666666667,211.16666666666663,37.825,6.316666666666666,36.66666666666666,0.5,141.04166666666666,83.45833333333333,Sunny,0.27,24,18,05:48:00,20:13:00,0:17:00,1:29:00,22,66,1003,1
2016-05-14,52.76666666666667,25.3375,195.125,28.34166666666667,5.479166666666667,50.583333333333336,0.5,120.04166666666669,75.5,Sunny,0.0,24,18,05:47:00,20:14:00,13:17:00,2:5:00,26,62,1007,1
2016-05-15,53.88333333333333,33.00833333333333,185.41666666666663,37.675,5.204166666666667,40.875,0.5,86.79166666666667,63.54166666666666,Sunny,2.0,24,17,05:46:00,20:15:00,14:15:00,2:37:00,19,63,1010,1
2016-05-16,32.24583333333333,21.741666666666664,211.08333333333331,31.950000000000003,5.783333333333334,44.208333333333336,0.5,76.125,51.625,Sunny,0.29,22,16,05:45:00,20:16:00,15:12:00,3:8:00,14,69,1012,1
2016-05-17,20.604166666666668,17.1,219.625,30.90833333333333,5.104166666666667,47.583333333333336,0.5,71.91666666666667,49.5,Overcast,0.11,18,13,05:44:00,20:17:00,16:8:00,3:37:00,23,76,1014,0
2016-05-18,16.462500000000002,14.483333333333334,207.70833333333331,48.2125,6.229166666666667,43.333333333333336,0.5,53.875,28.75,Sunny,0.01,18,13,05:44:00,20:18:00,17:4:00,4:5:00,20,66,1014,0
2016-05-19,29.558333333333334,23.39583333333333,249.95833333333331,57.145833333333336,7.845833333333334,41.708333333333336,0.5,65.75,40.875,Sunny,0.55,21,16,05:43:00,20:19:00,18:0:00,4:34:00,14,68,1014,0
2016-05-20,40.05416666666667,34.40416666666667,275.0,50.85416666666666,6.325,33.375,0.5,88.79166666666667,63.833333333333336,Partly cloudy,1.51,21,15,05:42:00,20:20:00,18:56:00,5:6:00,12,71,1014,1
2016-05-21,23.879166666666663,19.745833333333334,230.66666666666663,26.725,4.670833333333333,49.125,0.5,80.625,58.125,Patchy rain possible,0.65,21,16,05:41:00,20:21:00,19:53:00,5:40:00,12,71,1014,1
2016-05-22,16.408333333333335,12.733333333333334,178.54166666666666,38.3625,4.858333333333333,59.5,0.5,58.29166666666666,32.958333333333336,Overcast,0.4,19,16,05:40:00,20:22:00,20:48:00,6:17:00,28,75,1013,0
2016-05-23,33.0125,24.35,261.5416666666667,58.0125,6.520833333333333,41.04166666666666,0.5,60.125,36.41666666666666,Sunny,0.09,21,15,05:40:00,20:23:00,21:41:00,6:58:00,7,66,1014,0
2016-05-24,29.77916666666667,24.745833333333334,224.16666666666663,38.23333333333333,6.308333333333334,57.958333333333336,0.5,81.5,61.375,Sunny,0.0,23,17,05:39:00,20:24:00,22:32:00,7:45:00,16,57,1009,1
2016-05-25,25.08333333333333,17.379166666666666,193.20833333333331,30.366666666666664,6.0875,52.083333333333336,0.5,68.66666666666667,44.375,Sunny,2.13,21,17,05:38:00,20:25:00,23:19:00,8:36:00,23,65,1004,0
2016-05-26,19.15833333333333,16.029166666666665,231.20833333333331,38.05833333333333,5.7375,41.66666666666666,0.5,56.458333333333336,30.125,Moderate or heavy rain shower,25.79,17,16,05:38:00,20:25:00,,9:32:00,17,78,1007,0
2016-05-27,17.654166666666665,13.883333333333333,204.58333333333331,38.32083333333333,5.55,47.75,0.5,60.208333333333336,33.625,Light rain shower,6.52,16,15,05:37:00,20:26:00,12:3:00,10:32:00,15,87,1012,0
2016-05-28,24.275,19.466666666666665,241.625,54.41666666666666,5.133333333333334,26.33333333333333,0.5,55.0,30.916666666666668,Partly cloudy,0.0,17,15,05:36:00,20:27:00,12:43:00,11:35:00,9,86,1015,0
2016-05-29,25.70833333333333,22.320833333333336,220.5,54.3125,8.358333333333333,38.16666666666666,0.5,71.70833333333333,48.875,Sunny,0.0,23,17,05:36:00,20:28:00,1:21:00,0:39:00,14,65,1013,0
2016-05-30,37.19166666666667,27.59166666666667,228.70833333333331,62.88333333333333,8.845833333333333,39.833333333333336,0.5,74.66666666666667,53.5,Sunny,1.94,25,19,05:35:00,20:29:00,1:57:00,13:47:00,13,62,1011,1
2016-05-31,57.25416666666666,36.7875,244.0,58.64166666666667,10.529166666666669,34.291666666666664,0.5,90.45833333333331,64.83333333333333,Patchy rain possible,0.84,23,17,05:35:00,20:29:00,2:31:00,14:56:00,14,67,1013,1
2016-06-01,66.30416666666666,47.9125,356.3333333333333,66.26666666666667,10.233333333333333,26.291666666666668,0.5,122.79166666666669,75.70833333333333,Sunny,1.13,25,19,05:34:00,20:30:00,3:7:00,16:6:00,9,63,1014,1
2016-06-02,58.208333333333336,44.57083333333333,256.3333333333333,52.98333333333333,7.079166666666667,41.125,0.5,126.66666666666669,76.83333333333333,Sunny,0.1,27,20,05:34:00,20:31:00,3:45:00,17:18:00,11,57,1010,1
2016-06-03,45.07916666666666,34.28333333333333,266.625,57.65833333333333,6.866666666666667,24.291666666666668,0.5,115.0,73.125,Thundery outbreaks possible,0.04,24,18,05:34:00,20:32:00,4:26:00,18:30:00,13,70,1007,1
2016-06-04,39.9875,33.12083333333333,269.1666666666667,41.05833333333333,6.904166666666666,33.0,0.5,95.625,66.625,Sunny,0.39,24,18,05:33:00,20:32:00,5:11:00,19:41:00,9,68,1009,1
2016-06-05,22.975,18.39583333333333,243.54166666666663,50.97083333333333,5.2375,27.541666666666668,0.5,77.33333333333333,53.29166666666666,Sunny,0.06,23,18,05:33:00,20:33:00,6:2:00,20:47:00,9,71,1013,1
2016-06-06,33.71666666666667,25.766666666666666,285.625,43.8,5.979166666666667,31.58333333333333,0.5,67.83333333333333,43.25,Partly cloudy,0.0,24,17,05:33:00,20:34:00,6:58:00,21:47:00,6,62,1012,0
2016-06-07,19.058333333333334,14.316666666666668,212.875,25.775,5.041666666666667,54.54166666666666,0.5,74.625,52.54166666666666,Cloudy,0.99,21,17,05:32:00,20:34:00,7:58:00,22:39:00,22,67,1016,1
2016-06-08,11.691666666666668,7.3,179.41666666666666,27.59583333333333,4.895833333333333,48.125,0.5,36.583333333333336,22.166666666666668,Partly cloudy,0.0,20,16,05:32:00,20:35:00,9:0:00,23:25:00,27,59,1018,0
2016-06-09,12.775,9.279166666666669,195.25,30.916666666666668,7.079166666666667,42.208333333333336,0.5,35.916666666666664,21.541666666666668,Partly cloudy,0.03,20,15,05:32:00,20:35:00,10:3:00,,19,61,1015,0
2016-06-10,15.829166666666667,11.395833333333334,202.25,41.0875,7.041666666666667,40.708333333333336,0.5,41.0,22.041666666666668,Sunny,0.0,19,15,05:32:00,20:36:00,11:4:00,12:4:00,16,67,1013,0
2016-06-11,26.4,19.125,243.375,54.3625,9.65,39.208333333333336,0.5,55.458333333333336,31.541666666666668,Sunny,0.0,23,15,05:32:00,20:36:00,0:4:00,12:38:00,7,60,1014,0
2016-06-12,33.94166666666667,25.65833333333333,229.83333333333331,60.97083333333333,10.0625,39.66666666666666,0.5,73.45833333333333,52.41666666666666,Sunny,0.0,26,19,05:32:00,20:37:00,13:2:00,1:10:00,11,47,1012,1
2016-06-13,29.5,23.15833333333333,199.16666666666663,38.1125,7.8,44.333333333333336,0.5,75.29166666666667,54.91666666666666,Sunny,2.06,27,20,05:32:00,20:37:00,14:0:00,1:40:00,15,49,1005,1
2016-06-14,31.84166666666667,22.058333333333334,165.70833333333334,36.329166666666666,7.779166666666666,42.16666666666666,0.5,71.58333333333333,48.66666666666666,Cloudy,3.01,24,20,05:32:00,20:38:00,14:56:00,2:8:00,16,65,1002,0
2016-06-15,26.725,20.066666666666663,180.33333333333331,43.99583333333334,6.908333333333334,48.29166666666666,0.5,70.66666666666667,46.875,Moderate or heavy rain shower,12.31,22,19,05:32:00,20:38:00,15:52:00,2:37:00,17,72,1007,0
2016-06-16,34.05833333333333,25.441666666666663,255.33333333333331,63.520833333333336,9.533333333333331,30.291666666666668,0.5,70.33333333333333,45.958333333333336,Patchy rain possible,0.42,26,20,05:32:00,20:38:00,16:48:00,3:8:00,15,66,1014,0
2016-06-17,42.6375,34.22083333333333,266.0416666666667,66.46666666666667,9.1,30.75,0.5,94.29166666666669,66.125,Sunny,0.0,28,21,05:32:00,20:39:00,17:45:00,3:40:00,6,54,1017,1
2016-06-18,25.979166666666668,20.65833333333333,222.45833333333331,45.825,7.054166666666667,36.79166666666666,0.5,82.45833333333333,59.625,Sunny,0.05,31,22,05:32:00,20:39:00,18:40:00,4:16:00,15,48,1016,1
2016-06-19,25.1625,20.03333333333333,205.29166666666663,29.59166666666667,6.525,35.958333333333336,0.5,64.875,38.083333333333336,Sunny,0.0,31,22,05:32:00,20:39:00,19:36:00,4:56:00,21,57,1013,0
